item_code,item_name,brand,sku,invoice_alias,upc_barcode,size,items_per_case,cases_on_hand,standard_price,buying_price,price_status
SNACK-0007,Oman Sohar Assorted Chips,Oman Sohar,,,9501100019370,15 g,1,1.0,,,NO PRICE
BEAN-0038,Pufak Peanut Puff Corn,Pufak,,,6253001321023,60 g,24,6.0,,,NO PRICE
GEN-0050,Rich Tomato AlBandoura,Rich Tomato,,,*6253001321726,100 g,20,,,,NO PRICE
SPICE-0029,Roma Black Seeds,Roma,,,0063923510752,7 oz,12,,,,NO PRICE
SPICE-0032,Roma Cumin Seeds,Roma,,,0063923510713,6 oz,12,,,,NO PRICE
SPICE-0026,Roma Garlic Powder,Roma,,,0063923510720,8 oz,12,,,,NO PRICE
SPICE-0028,Roma Ground Cumin,Roma,,,0063923510727,7 oz,12,,,,NO PRICE
SPICE-0027,Roma Ground Fenugreek,Roma,,,0063923510742,8 oz,12,,,,NO PRICE
SPICE-0030,Roma Paprika Powder,Roma,,,0063923510714,7 OZ,12,,,,NO PRICE
SPICE-0033,Roma Whole Cinnemon,Roma,,,0890800033985,200 g,12,,,,NO PRICE
SPICE-0031,Roma curry Powder,Roma,,,0063923510714,7 oz,12,,,,NO PRICE
GEN-0062,Sahtein White Vinegar,Sahtein,,,6267598,1 GAL,6,9.0,,,NO PRICE
GEN-0064,Samar Snacks Barbecue Flavor,Samar Snacks,,,*6251041220078,40 g,24,,,,NO PRICE
GEN-0065,Samar Snacks Chili Flavor,Samar Snacks,,,*6251041220030,40 g,30,,,,NO PRICE
GEN-0063,Samar Snacks Paprika Flavor,Samar Snacks,,,*6251041220047,40 g,24,,,,NO PRICE
GEN-0066,Samyang Carbonara Buldak Spicy Ramen Chicken Flavor,Samyang,,,18801073123622,130 g,8,1.0,,,NO PRICE
PASTA-0008,Santa Lucia Penne Rigate,Santa Lucia,,,0008516412030,1 LB,20,,,,NO PRICE
BEV-0029,Schweppes Tangerine Drink,Schweppes,,,54023888,12 mg,12,9.0,,,NO PRICE
