Brand,Description,UPC,"Cases 
On Hand","Items
 Case/Unit",Size,Amount Taken,Date Taken,Our Cost
Castania,Small Seeds,10074265017001,0,10,350 g,,,
Castania,Black Sunflower Seeds,10074265020544,3,10,350 g,,,
Chips Oman,Sohar Chili Flavor,9501100019769,1,10,150 g,,,
Chips Oman,Chili Flavor (Family Size),9501100019639,3,4 bags X 23 packs,13 g,,,
Chips Oman,Chili Flavor  ,9501100018595,3,6,100 g,,,
Collective Aromas Co.,Orange Emulsion,682863057171,1,1,1 GAL,,,
Colona,Andalouse Salsa Saus,15410803520018,1,12,500 ml,,,
Colona,Marocaine Salsa Saus,15410803520117,1,12,500 ml,,,
Colona,Tunisienne Salsa Saus,15410803520124,1,12,500 ml,,,
Colona,Cheezy Salsa Saus,15410803520100,1,12,500 ml,,,
Creamery Ave,Caramel Topping,400015199094,3,1,5.5 LB,,,
Damaski,Cucumber Pickles,616612997661,2,12,1000 g,,,
Damaski,Dill Pickles,850060863141,1,12,1000 g,,,
Damaski,Pitted Tofahy Green Olives,850060863608,1,12,1000 g,,,
Damaski,Sliced Green Olives,616612997883,1,12,620 g,,,
Damaski,Assorted Pickles,850080531204,0,6,2 KG,,,
Damaski,Turnip Pickles,616612997753,0,6,1000 g,,,
Dari,Medium Vermicelli,26111094000123,3,16,500 g,,,
Do Ghazal,Premium Instant Hot Chocolate Packets,47960627554096,1,12 Sachets/Box X 20 Boxes,300 g,,,
Dolci Merende,Starwberry Croissant,8002371000353,0,8,8.81 oz,,,
Durra,Lentil Soup Packets,6251136051204,1.75,12 Packs in 12 Boxes,70 g,,,
Durra,Vegetable Soup Packets,6251136051273,1,12 Packs in 12 Boxes,60 g,,,
Durra,Pickled Cucumbers,6251136021849,4,12,710 g,,,
Durra,Mixed Pickles,6251136030704,5,12,1300 g,,,
Durra,Green Olives,6251136015800,1,12,2900 g,,,
Durra,Syrian Breadsticks (Classic),6251136031695,2,12,400 g,,,
Durra,Syrian Breadsticks (Sesame),6251136031701,2,12,400 g,,,
Durra,Pickled Cucumbers,6251136021856,2,4,2800 g,,,
Durra ,Green Olives,6251136015787,1,12,650 g,,,
El Charcoal Diablito,Mesquite Charcoal,7503048053364,0,1,30 LB,,,
ETI,Finger Biscuit,10809747071024,0,5,900 g,,,
Freez Mix,Mango & Peach,762571312196,4,4X6,275 ml,,,
Freez Mix,Apple & Grape,762571312080,0,4X6,275 ml,,,
Freez Mix,Blue Hawai,762571312158,4,4X6,275 ml,,,
Freez Mix,Berry,762571312011,0,4X6,275 ml,,,
Freez Mix,Lychee,762571312219,2,4X6,275 ml,,,
Freez Mix,Strawberry,762571312042,1,4X6,275 ml,,,
