item_code,item_name,items_per_case,current_price,cost,ratio,proposed_price,price_row_name
NUTSE-0011,Alreef Sunflower Seed Black Saltd 250gr,16,3.45,48.0,13.91,55.2,2t5rkpk7su
CHOCA-0008,Ruya Draje 6 Different Kinds 400gr,15,6.9,90.0,13.04,103.5,qjs3encot5
GRAIN-0032,Jannat Yellow Burgul #2,12,1.91,23.0,12.04,22.92,ej6ffc9ttn
BEAUT-0001,OLIVA SHAMPOO,12,1.72,18.0,10.47,20.64,u3cpvlh869
JUICE-0012,AL MARAI APPLE JUICE,12,1.72,18.0,10.47,20.64,adk78ic7e3
JUICE-0013,AL MARAI JUAVA 1L,12,1.72,18.0,10.47,20.64,bcin8pe8d0
JUICE-0014,AL MARAI MANGO JUICE 1L,12,1.72,18.0,10.47,20.64,blpot9c5n8
MILEG-0001,AL Marai pLAIN MILK 1L,12,1.72,18.0,10.47,20.64,b17h8slti1
CHIPS-0020,Windows Chips,12,1.34,14.0,10.45,16.08,fb6333mmub
DRYBE-0005,SPLIT FAFA BEANS,12,3.35,35.0,10.45,40.2,l69401dvi9
DRYFR-0004,Alreef Dates Pits Fresh Kimia 500gr,12,4.02,42.0,10.45,48.24,ob258he6lc
PICKL-0029,Alreef Pickle Beet 900gr,12,4.02,42.0,10.45,48.24,ptlmon9rnq
PICKL-0032,DURRA Pickled Turnips With Beetroot 2,12,2.68,28.0,10.45,32.16,vqlu1j76a0
SYRRO-0002,Date Vinegar Al Badawy 500ml,12,4.02,42.0,10.45,48.24,1oijn5htao
HALTA-0005,DURRA HALAWA PLAIN,12,4.31,45.0,10.44,51.72,jdjtsgh0jh
SPICE-7511,Jannat Ginger Spice,12,3.64,38.0,10.44,43.68,jr7mr1sm6q
SYRRO-0003,Alreef Date Syrup (Organic) 680gr,12,5.17,54.0,10.44,62.04,gom2in7g3u
BREAD-0001,Durra Bread Sticks PLAIN,12,3.45,36.0,10.43,41.4,h535t59rl3
CONSA-0001,Reef Sauce W/Pomegranate Seeds 900gr,12,6.9,72.0,10.43,82.8,a332i3lerq
HOUSE-0001,fancy tea cups black box 6 pcs,12,8.63,90.0,10.43,103.56,kin46ip1eg
JUICE-0011,BEYTI JUAVA,12,1.15,12.0,10.43,13.8,9sn2m1sfds
OLIJA-0001,KALAMATA GREEN OLIVES JANNAT,12,4.6,48.0,10.43,55.2,clapaq4377
OLIJA-0002,JANNAT SALKINI GREEN OLIVS,12,4.41,46.0,10.43,52.92,eo8hv4r26u
OLIJA-0003,KALAMATA BLACK OLIVES JANNAT,12,4.6,48.0,10.43,55.2,hsjst97fl4
OLIJA-0005,Alreef Green Olive Grilled 640gr,12,5.75,60.0,10.43,69.0,20mieerimh
PICKL-0016,JANNAT BEET ROOT PICKLES,12,3.26,34.0,10.43,39.12,8ia4m1cbnd
PICKL-0017,Falih Abu Anba Mix Pickles 900gr,12,5.75,60.0,10.43,69.0,dl8aajmasd
PICKL-0019,Eggplant Grilled 900gr,12,4.6,48.0,10.43,55.2,j4t5osa5ri
PICKL-0020,Alreef Pepper Pickles Mixed 900gr,12,5.75,60.0,10.43,69.0,k0kjnoqove
PICKL-0021,Alreef Pepper Pickles Yellow 900gr,12,5.75,60.0,10.43,69.0,kc1kum82fr
PICKL-0022,Alreef Turnip Pickles Sliced 900gr,12,4.6,48.0,10.43,55.2,kp54644n1d
PICKL-0023,Alreef Sunchoke Pickl/Almaza 950gr,12,5.75,60.0,10.43,69.0,moaff2qjch
PICKL-0024,Alreef Sunchoke Pickl W/Date Vin 950gr,12,5.75,60.0,10.43,69.0,nm034q1s08
PICKL-0026,Alreef Pickle Califlower(Yellow) 900gr,12,5.75,60.0,10.43,69.0,pjn9qq0v9i
PICKL-0027,Alreef Pickle Califlower(Red) 900gr,12,5.75,60.0,10.43,69.0,pm7ltcmo00
PICKL-0028,Alreef Al Musel Pickles 900gr,12,5.75,60.0,10.43,69.0,pph5g83l4t
SAUPA-0003,Tahini Tilkif 1lb,12,4.6,48.0,10.43,55.2,o2u9suj9pv
SAUPA-0004,Tahini Tilkif 2lb,12,8.63,90.0,10.43,103.56,okgp1nc6km
SAUPA-0005,Alreef Tahini Organic Squeebable 424gr,12,5.75,60.0,10.43,69.0,placi33gn5
SAUPA-0011,Alreef Tamarind Concentrated Sauc 690gr,12,6.9,72.0,10.43,82.8,6kbq9m78n6
SAUPA-0012,Hello Mayochup Mayonnaise 500ml,12,4.6,48.0,10.43,55.2,775vghqi3c
SAUPA-0013,Hello Garlic Mustard Sauce Germ 500ml,12,4.6,48.0,10.43,55.2,7r5bd23ibu
SAUPA-0014,Hello Ketchup Hot Plastic 570gr,12,4.6,48.0,10.43,55.2,87atfk8rn9
SAUPA-0015,Hello Sweet Chili Sauce 600gr,12,4.6,48.0,10.43,55.2,8gq91jnap0
SAUPA-0016,Hello Steak Sauce Plastic 570gr,12,4.6,48.0,10.43,55.2,gumig1fbh6
SAUPA-0020,Durra Sesame Tahina,12,4.22,44.0,10.43,50.64,hmhs7ca4lt
SPICE-7509,JANNAT WHITE PEPPER,12,4.41,46.0,10.43,52.92,jak2rgm7ce
TEAHE-0005,Durra Dried Chamomile,12,3.45,36.0,10.43,41.4,g7nv3ph5pu
HALTA-0006,DURRA HALAWA PISTACHIO 1,12,3.79,39.5,10.42,45.48,jm04mcjm0t
SYRRO-0006,Durra Date syrup,12,2.88,30.0,10.42,34.56,v9d16t8trj
CHIPS-0016,Mr. Chips Snack Paprika,10,2.99,26.0,8.7,29.9,dska27ealt
CHIPS-0019,Mr Chips Snack Cheese,10,2.99,26.0,8.7,29.9,ev2vhaffb8
COFFE-0005,SHAMI CAFE GREEN,10,10.92,95.0,8.7,109.2,2ci35lpkqi
FROKE-0001,Kubba Mosul Chicken 2PCs/bag,10,12.65,110.0,8.7,126.5,luope34ke5
FROKE-0002,Kubba With Kishmish&Los Halal 2PCs/Bag,10,14.95,130.0,8.7,149.5,m4cdge5349
FROKE-0003,Kibbie Krass 12pcs/bag,10,13.8,120.0,8.7,138.0,mavk2iusou
RICE-0006,SUN WHITE,10,5.75,50.0,8.7,57.5,vejm330rjj
BEAUT-0003,Kajal Hashmi Colors 10PCs,10,1.44,12.5,8.68,14.4,qdlo7fjt0e
GEN-0097,JANNATY TAMMORA CLASSIC,8,15.52,108.0,6.96,124.16,4241maapp9
HALTA-0004,ELRASHIDY EL MEZAN HALAWA,8,6.47,45.0,6.96,51.76,2teq6hab0g
RICE-0005,SUN WHITE RICE TIGER,8,10.92,76.0,6.96,87.36,t9rtggguim
SOUP-0026,KASIH JAMEED,8,8.91,62.0,6.96,71.28,0rko4dqlla
HOUSE-0002,Te Cup Red... 6PCs+6PCs 6 Seta,6,13.8,72.0,5.22,82.8,kl6qs3pj3q
OLIJA-0004,Black Olives Dry 1100gr,6,8.28,43.2,5.22,49.68,0g3afl156m
OLIOI-0002,Durra olive oil,6,16.1,84.0,5.22,96.6,ld2tl4vobk
PICKL-0025,Alreef Wild Cucumber Pickle Fresh 1600gr,6,6.9,36.0,5.22,41.4,iusgomaed4
PICKL-0030,Durra Pickled Cucumber,6,6.13,32.0,5.22,36.78,ocp531vk09
GHEE-0002,RAWABY GHEE,4,8.05,28.0,3.48,32.2,8qft187t6f
