Brand,Description,UPC,Cases On Hand,items Per Case/Unit,Size,Amount Taken,Date Taken,
Kenz,Medium Vermicelli,6111267930611,0,12,500 g,,,
Kesar,Sweetened Mango Pulp,51179251502,8,6,850 g,,,
Knorr ,Chicken Flavor Bouillon (Bulk),48001016460,3,1,25 LB,,,
Kraft ,Cheddar Cheese,5711953186523,1,36,190 g,,,
Long Leggies,Marshmallow Twist Assorted,850075808571,3,30 Packs,110 g,,,
Maggi,Halal Chicken Flavored Bouillon,28000088057,1,24,21 g,,,
Mandelin,Slivered Almonds Blanched (Bulk),899177000377,7,1,25 LB,,,
Mandi,Premium Indian Basmati Rice,6253503249122,1,4,10 LB,,,
Mister Potato,Hot Paprika Flavor,6253001324093,2,50,35 g,,,
Mister Potato,Mango and Chili Flavor,6253001324109,2,50,35 g,,,
Mister Potato,Chili and Lemon Flavor,6253001324161,2,50,35 g,,,
Mister Potato,Original Flavor,6253001324147,2,50,35 g,,,
Morrocan,Oil Cured Olives,703669331323,3,4,10 LB,,,
Mr Nut,Premium Black Roasted Salted Sunflower Seeds,603608719819,2,12,10 oz,,,
Nature Garden,Mango Juice Nectar,822514517108,19,6,2.1 L,,,
Nido,Milk Powder,8717896006116,9,24,400 g,,,
Nido,Milk Powder,8717896006123,8,12,900 g,,,
Puck,Puck Cream,15711953139885,2,48,5.6 oz,,,
Rich,Chocolate Pie Original Flavor,8936152699811,1,8 Boxes X12 Packs,10.58 oz,,,
Roma,Shelled Wheat,10850053231336,3,12,2 LB,,,
Roma,Cinnamon Sticks,639235107118,1,12,3 oz,,,
Roma,Turmeric Powder,639235107286,2,12,7 oz,,,
Roma,Hawaji Somali,639235107477,2,12,6 oz,,,
Roma,All Purpose Seasoning,639235107569,1,12,14 oz,,,
Roma,Ground Black Pepper,639235107187,1,12,6 oz,,,
Roma,Seven Spice,639235107194,1,12,7 oz,,,
Roma,Ginger Powder,639235107156,3,12,6 oz,,,
Roma,Gound Coriander,639235107217,1,12,6 oz,,,
Roma,Lemon Pepper,639235107705,1,12,13 oz,,,
Roma,Sumac,639235107170,1,12,7 oz,,,
Roma,Chili Powder,639235107408,1,12,7 oz,,,
Roma,Goat Meat Masala,840205762156,1,24,7.05 oz,,,
Roma,Tandoori Masala,840205762149,1,24,7.05 oz,,,
Roma,Chicken Stock,839762003413,3,10,1 KG,,,
Royal Chef,Vermicelli,822514279235,45,20,1 LB,,,
Safeya,Face Mask,6202026969222,1,24,7 oz,,,
Safeya ,Black Soap w/Prickly Pear,6202026970655,1,36,7.05 oz,,,
Sahtein,White Vinegar,6267598,9,6,1 GAL,,,
Samyang,Carbonara Buldak Spicy Ramen Chicken Flavor,18801073123622,1,8,130 g,,,
Santa Lucia,Farfalle,10085164121744,1,20,1 LB,,,
Santa Lucia,Chifferini,10085164120747,5,20,1 LB,,,
Schweppes,Tangerine Drink,54023888,9,12,12 mg,,,
Shahia,Whole Fava Beans,,1,1,50 LB,,,
Shahzada,Extra Long Grain Basmati Sela Rice,864485000107,13,4,10 LB,,,
Shahzada,Supreme Basmati Rice,8964001754473,3,4,10 LB,,,
Shan,Ginger Garlic Paste,5000077821,25,6,700 g,,,
Shan,Himalayan Basmati Rice,,1,4,10 LB,,,
Shani,Fruit Flavor Drink,12000800368,104,24,300 ml,,,
Soccer Kids,Assorted Fruit Jellies Juicy Chew,850072696768,1,6,1190 g,,,
Soccer Kids,Assorted Fruit Jellies Juicy Chew,850072696782,1,6,1190 g,,,
Sultan,100% Extra Virgin Olive Oil,74265002475,39,6,1 Gal,,,
Sultan,100% Extra Virgin Koura Olive Oil,74265023357,33,4,3 QT/2.85 L,,,
Sultan,Instant GingerTea,6111069015554,1,24,90 g,,,
Sultan ,Foule Mudammas,10074265002533,5,24 cans,14.8 oz,,,
Sultan/Barous,Green Tea Grains,6111260276341,2,12,500 g,,,
Sunwhite,Calrose Rice,9310140011356,20,8,4 KG,,,
Tadim,Sunflower Seeds Roasted and Salted,190813201227,48,12,300 g,,,
Tadim,Sunflower Seeds Roasted ,190813201210,48,12,300 g,,,
Taragalte,Green Tea,6111267161015,2,20,200 g,,,
Tazah ,Pure Vegetable Ghee,7389603118422,4,6,2 KG,,,
Tazah ,Grape Leaves,8690777020855,1,20,1 LB,,,
The Raisin Company (TRC),Golden Raisins (Bulk),,6,1,30 LB,,,
Today,Starwberry Croissant,8693029911161,26,12X6,45 g,,,
Today,Chocolate Hazelnut,8693029911147,15,12X6,45 g,,,
Torani,Mango Real Fruit Smoothie Mix ,90010212A30925,1,6,64 oz,,,
